NumberTheoreticTransform.cs	Number Theoretic Transform(数論変換)
NumberTheoreticTransform.Convolution.cs	Number Theoretic Transform(数論変換) による畳み込み
NumberTheoreticTransform.Logical.cs	Number Theoretic Transform(数論変換) 通常の実装
NumberTheoreticTransform.Simd.cs	Number Theoretic Transform(数論変換) SIMD 実装
ConvolutionLarge.cs	長い配列の畳み込み
