WIntGraphBuilder.cs	int重み付きグラフのBuilder
WLongGraphBuilder.cs	long重み付きグラフのBuilder
WUIntGraphBuilder.cs	uint重み付きグラフのBuilder
WULongGraphBuilder.cs	ulong重み付きグラフのBuilder
