BinarySearchTreeBase.cs	平衡二分探索木の基本実装
LazyBinarySearchTreeBase.cs	遅延伝播反転可能平衡二分探索木の基本実装
ImmutableBinarySearchTreeBase.cs	永続化した平衡二分探索木の基本実装
ImmutableLazyBinarySearchTreeBase.cs	永続化した遅延伝播反転可能平衡二分探索木の基本実装
