ImmutableLazyRedBlackTree.cs	永続遅延伝播反転可能赤黒木
ImmutableRedBlackTree.cs	永続赤黒木
LazyRedBlackTree.cs	遅延伝播反転可能赤黒木
RedBlackTree.cs	赤黒木
RedBlackTreeNodeBase.cs	赤黒木の基本実装
