PersistentStack.Doubling.cs	$O(log N)$ でインデックスアクセス可能な永続Stack
PersistentStack.cs	Countがある永続Stack
PriorityDeque.cs	PriorityDeque<T>
PriorityDeque`2.cs	PriorityDeque<TKey, TValue>
PriorityQueueDijkstra.cs	Dijkstra法用のPriorityQueue
